properties.ObjectId,properties.StopID,properties.PID,properties.resultOfStop,properties.resultOfStopcode,properties.resultOfStopcodeText
11079,14714,1,Warning (verbal or written),54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
11080,14715,1,Citation for infraction,54324,27153 VC - EXCESSIVE EXHAUST VIOL (I) 54324
11081,14716,1,Citation for infraction,25063,4462(B) VC - SHO ON VEH/GIV PO FLS DOC (I) 25063
11082,14717,1,No Action,NULL,NULL
11083,14718,1,Warning (verbal or written),54165,27151 VC - ILL MOD EXHAUST SYS:NOISE (I) 54165
11084,14718,2,No Action,NULL,NULL
11085,14718,3,No Action,NULL,NULL
11086,14660,1,Warning (verbal or written),54099,4000(A) VC - NO REG:VEH/TRAILER/ETC (I) 54099
11087,14577,1,In-field cite and release,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11088,14784,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
11089,14661,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11090,14536,1,No Action,NULL,NULL
11091,14578,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11092,14785,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
11093,14661,2,Warning (verbal or written),54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
11094,14537,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
11095,14579,1,No Action,NULL,NULL
11096,14786,1,No Action,NULL,NULL
11097,14662,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11098,14538,1,Custodial Arrest without warrant,50112,166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112
11099,14580,1,No Action,NULL,NULL
11100,14787,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
11101,14663,1,Field interview card completed,NULL,NULL
11102,14539,1,No Action,NULL,NULL
11103,14581,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11104,14788,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11105,14664,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
11106,14540,1,Citation for infraction,54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
11107,14582,1,No Action,NULL,NULL
11108,14789,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11109,14790,1,Warning (verbal or written),54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
11110,14791,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11111,14791,1,Citation for infraction,54107,12500(A) VC - DRIVE W/O LICENSE (M) 54107
11112,14792,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11113,14793,1,No Action,NULL,NULL
11114,14794,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
11115,14795,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11116,14796,1,In-field cite and release,54491,35784(A) VC - PERMIT:TERMS/ETC VIOL (M) 54491
11117,14797,1,Warning (verbal or written),54427,21800(D) VC - FAIL STOP/YIELD:INOP SIGN (I) 54427
11118,14798,1,Citation for infraction,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
11119,14799,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
11120,14800,1,Citation for infraction,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
11121,14801,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11122,14802,1,Warning (verbal or written),54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
11123,14803,1,Citation for infraction,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
11124,14804,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11125,14805,1,No Action,NULL,NULL
11126,14806,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11127,14807,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11128,14808,1,Warning (verbal or written),54109,24252(A) VC - FAIL MAINT VEH LITE EQUIP (I) 54109
11129,14809,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11130,14583,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11131,14541,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11132,14665,1,Citation for infraction,54014,24400 VC - HEADLAMP:OPR/AMT/SIZE:VIO (I) 54014
11133,14584,1,No Action,NULL,NULL
11134,14541,2,No Action,NULL,NULL
11135,14665,1,In-field cite and release,54004,14601(A) VC - DRIV:SUSP/ETC LIC:RECKLES (M) 54004
11136,14585,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11137,14542,1,Field interview card completed,NULL,NULL
11138,14665,1,Citation for infraction,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
11139,14586,1,Custodial Arrest without warrant,36100,314.1 PC - IND EXP:ILL ENTR OCC DWEL (F) 36100
11140,14543,1,Warning (verbal or written),54013,24002 VC - UNLAWFUL OPERATION OF VEH (I) 54013
11141,14665,2,Citation for infraction,35320,11365(A) HS - VISIT WHERE CNTL SUB USED (M) 35320
11142,14587,1,Field interview card completed,NULL,NULL
11143,14544,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11144,14666,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11145,14587,1,Warning (verbal or written),36020,647(A) PC - SOLICIT LEWD ACT (M) 36020
11146,14545,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11147,14666,1,In-field cite and release,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
11148,14588,1,Noncriminal transport or caretaking transport,NULL,NULL
11149,14546,1,No Action,NULL,NULL
11150,14667,1,Custodial Arrest without warrant,50112,166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112
11151,14589,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11152,14547,1,Custodial Arrest without warrant,22004,459 PC - BURGLARY (F) 22004
11153,14668,1,Citation for infraction,62159,14 4310 CA - CA REG:LITTERING A UNIT (M) 62159
11154,14669,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
11155,14670,1,No Action,NULL,NULL
11156,14671,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
11157,14672,1,No Action,NULL,NULL
11158,14673,1,No Action,NULL,NULL
11159,14674,1,No Action,NULL,NULL
11160,14675,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
11161,14675,2,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
11162,14676,1,No Action,NULL,NULL
11163,14676,2,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11164,14677,1,Warning (verbal or written),32017,555.2 PC - LOITER POSTED PROPERTY (M) 32017
11165,14678,1,Warning (verbal or written),29138,594(A) PC - VANDALISM (M) 29138
11166,14679,1,No Action,NULL,NULL
11167,14680,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11168,14680,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11169,14548,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11170,14590,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11171,14549,1,Custodial Arrest without warrant,32022,602 PC - TRESPASSING (M) 32022
11172,14591,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11173,14550,1,No Action,NULL,NULL
11174,14591,1,Citation for infraction,54194,24603 VC - STOPLAMP VIOLATIONS (I) 54194
11175,14551,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
11176,14592,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11177,14552,1,Warning (verbal or written),54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
11178,14553,1,No Action,NULL,NULL
11179,14593,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11180,14554,1,No Action,NULL,NULL
11181,14593,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11182,14555,1,No Action,NULL,NULL
11183,14593,1,Citation for infraction,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11184,14555,2,No Action,NULL,NULL
11185,14594,1,Warning (verbal or written),65002,65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002
11186,14556,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11187,14595,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11188,14557,1,Citation for infraction,13039,240/242 PC - ASSAULT & BATTERY (M) 13039
11189,14596,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11190,14558,1,Custodial Arrest without warrant,22004,459 PC - BURGLARY (F) 22004
11191,14597,1,Citation for infraction,54306,22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306
11192,14597,1,In-field cite and release,54306,22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306
11193,14559,1,Warning (verbal or written),54537,22500(H) VC - PARK UNLAW:DOUBLE PARKING (I) 54537
11194,14598,1,No Action,NULL,NULL
11195,14560,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
11196,14599,1,Warning (verbal or written),65002,65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002
11197,14561,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
11198,14600,1,In-field cite and release,35172,11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172
11199,14600,1,Citation for infraction,35172,11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172
11200,14601,1,No Action,NULL,NULL
11201,15040,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11202,15041,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11203,15042,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11204,15043,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11205,15044,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11206,15045,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11207,15046,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11208,15047,1,No Action,NULL,NULL
11209,15048,1,No Action,NULL,NULL
11210,15049,1,No Action,NULL,NULL
11211,15050,1,No Action,NULL,NULL
11212,15051,1,No Action,NULL,NULL
11213,14849,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11214,15052,1,Custodial Arrest without warrant,50112,166(C)(1) PC - CONTEMPT:VIOL PROTECT ORD (M) 50112
11215,14850,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11216,15053,1,Citation for infraction,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
11217,14851,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11218,14852,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11219,15054,1,No Action,NULL,NULL
11220,14853,1,Custodial Arrest without warrant,38025,273.5 PC - INFLICT CRPL INJ SP/COHAB (F) 38025
11221,15055,1,No Action,NULL,NULL
11222,14854,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11223,15056,1,No Action,NULL,NULL
11224,14855,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11225,15057,1,Citation for infraction,54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
11226,14856,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11227,15057,1,Citation for infraction,54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
11228,14857,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
11229,15057,1,Custodial Arrest without warrant,54083,14601.1(A) VC - DRIVE:LIC SUSPENDED/ETC (M) 54083
11230,14858,1,No Action,NULL,NULL
11231,15058,1,Field interview card completed,NULL,NULL
11232,14859,1,Citation for infraction,54655,23123.5 VC - NO HND HLD DEVICE W/DRIVE (I) 54655
11233,15058,2,Field interview card completed,NULL,NULL
11234,14860,1,No Action,NULL,NULL
11235,15059,1,No Action,NULL,NULL
11236,14861,1,No Action,NULL,NULL
11237,15060,1,Warning (verbal or written),54415,21201(B) VC - BIKE HANDLEBAR ABV SHLDS (I) 54415
11238,14862,1,No Action,NULL,NULL
11239,15061,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11240,15062,1,No Action,NULL,NULL
11241,14863,1,No Action,NULL,NULL
11242,15063,1,No Action,NULL,NULL
11243,14864,1,No Action,NULL,NULL
11244,15064,1,No Action,NULL,NULL
11245,14864,2,No Action,NULL,NULL
11246,15065,1,In-field cite and release,13045,242 PC - BATTERY (M) 13045
11247,14865,1,Warning (verbal or written),54352,22105 VC - U TURN:OBSTRUCTED VIEW (I) 54352
11248,15065,2,In-field cite and release,13045,242 PC - BATTERY (M) 13045
11249,14866,1,No Action,NULL,NULL
11250,15066,1,Custodial Arrest without warrant,50075,3056 PC - VIOLATION OF PAROLE:FEL (F) 50075
11251,14867,1,Field interview card completed,NULL,NULL
11252,15067,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11253,14867,2,Field interview card completed,NULL,NULL
11254,15068,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11255,14868,1,No Action,NULL,NULL
11256,15069,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11257,14869,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
11258,15085,1,In-field cite and release,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
11259,15128,1,Citation for infraction,54162,21954(A) VC - PED NOT STOP:OUT CROSWALK (I) 54162
11260,15004,1,In-field cite and release,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
11261,15070,1,Citation for infraction,54109,24252(A) VC - FAIL MAINT VEH LITE EQUIP (I) 54109
11262,15071,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
11263,15072,1,No Action,NULL,NULL
11264,15073,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11265,15074,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
11266,15075,1,Warning (verbal or written),54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
11267,15076,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11268,15077,1,Warning (verbal or written),54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11269,15078,1,Warning (verbal or written),65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11270,15079,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
11271,15080,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11272,15081,1,No Action,NULL,NULL
11273,15082,1,No Action,NULL,NULL
11274,15083,1,In-field cite and release,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
11275,15084,1,In-field cite and release,65000,65000 ZZ - LOCAL ORDINANCE VIOL (M) 65000
11276,15085,1,In-field cite and release,32022,602 PC - TRESPASSING (M) 32022
11277,15129,1,Custodial Arrest without warrant,32082,647(H) PC - LOITER/ETC PRIVATE PROP (M) 32082
11278,15086,1,Warning (verbal or written),36100,314.1 PC - IND EXP:ILL ENTR OCC DWEL (F) 36100
11279,15005,1,In-field cite and release,35423,11364(A) HS - POSS UNLAW PARAPHERNALIA (M) 35423
11280,14870,1,Citation for infraction,54378,22526 VC - INTERSECT/ETC:NO CLEARNCE (I) 54378
11281,15130,1,No Action,NULL,NULL
11282,15087,1,Psychiatric hold,NULL,NULL
11283,15006,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
11284,14871,1,Warning (verbal or written),62159,14 4310 CA - CA REG:LITTERING A UNIT (M) 62159
11285,15131,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
11286,15088,1,No Action,NULL,NULL
11287,15006,2,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
11288,14872,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11289,15132,1,Citation for infraction,54191,24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191
11290,15089,1,No Action,NULL,NULL
11291,15007,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11292,14873,1,No Action,NULL,NULL
11293,15133,1,No Action,NULL,NULL
11294,15090,1,Warning (verbal or written),65002,65002 ZZ - LOCAL ORDINANCE VIOL (I) 65002
11295,15008,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
11296,14873,2,No Action,NULL,NULL
11297,15134,1,Custodial Arrest without warrant,64005,647(F) PC - DISORD CONDUCT:ALCOHOL (M) 64005
11298,15091,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11299,15009,1,No Action,NULL,NULL
11300,14874,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
11301,15135,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
11302,15092,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
11303,15010,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
11304,14874,1,Citation for infraction,54004,14601(A) VC - DRIV:SUSP/ETC LIC:RECKLES (M) 54004
11305,15136,1,Citation for infraction,54191,24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191
11306,15092,2,No Action,NULL,NULL
11307,15011,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11308,14875,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11309,15137,1,Warning (verbal or written),54306,22400(A) VC - DRIVE TOO SLOWLY/ETC (I) 54306
11310,15138,1,No Action,NULL,NULL
11311,15139,1,Field interview card completed,NULL,NULL
11312,15139,1,Custodial Arrest without warrant,52422,29800(A)(1) PC - FELON/ETC POSS/ETC F/ARM (F) 52422
11313,15139,2,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11314,15139,3,Field interview card completed,NULL,NULL
11315,15140,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
11316,15141,1,Citation for infraction,54338,4464 VC - DISPLAY ALTERED LIC PLATE (I) 54338
11317,15142,1,Citation for infraction,54106,22350 VC - UNSAFE SPEED:PREVAIL COND (I) 54106
11318,15143,1,Custodial Arrest without warrant,11084,243.4(E)(1) PC - SEXUAL BATT:SEX AROUSAL (M) 11084
11319,14925,1,No Action,NULL,NULL
11320,15144,1,No Action,NULL,NULL
11321,15145,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11322,15146,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11323,15147,1,Custodial Arrest without warrant,42100,23152(A) VC - DUI W/PRIORS:PER 23550 VC (F) 42100
11324,15147,1,Custodial Arrest without warrant,52422,29800(A)(1) PC - FELON/ETC POSS/ETC F/ARM (F) 52422
11325,15148,1,Citation for infraction,54338,4464 VC - DISPLAY ALTERED LIC PLATE (I) 54338
11326,15149,1,Citation for infraction,54167,22450(A) VC - FAIL STOP VEH:XWALK/ETC (I) 54167
11327,15150,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
11328,15151,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11329,15152,1,No Action,NULL,NULL
11330,15153,1,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
11331,15153,2,Citation for infraction,41063,25620 BP - POSS OPEN ALCOHOL:PUBLIC (I) 41063
11332,15154,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11333,15154,1,Warning (verbal or written),54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11334,15155,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11335,15156,1,Warning (verbal or written),54211,5202 VC - LICENSE PLATE DISPLAY VIO (I) 54211
11336,15157,1,Field interview card completed,NULL,NULL
11337,15158,1,Custodial Arrest without warrant,24067,10851(A) VC - TAKE VEH W/O OWNER CONSNT (M) 24067
11338,15158,2,No Action,NULL,NULL
11339,15158,3,No Action,NULL,NULL
11340,15159,1,Custodial Arrest without warrant,23008,484 PC - THEFT (M) 23008
11341,15160,1,Custodial Arrest without warrant,23008,484 PC - THEFT (M) 23008
11342,15161,1,Warning (verbal or written),54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
11343,15162,1,Warning (verbal or written),54191,24250 VC - DRIVE WITHOUT LIGHTS:DARK (I) 54191
11344,15162,2,No Action,NULL,NULL
11345,15163,1,Field interview card completed,NULL,NULL
11346,15164,1,Custodial Arrest pursuant to outstanding warrant,NULL,NULL
11347,15165,1,In-field cite and release,35172,11377(A) HS - POSS CONTROLLED SUBSTANCE (F) 35172
11348,15166,1,No Action,NULL,NULL
11349,15167,1,Citation for infraction,54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
11350,15168,1,Custodial Arrest without warrant,22004,459 PC - BURGLARY (F) 22004
11351,14885,6,No Action,NULL,NULL
11352,15011,1,Custodial Arrest without warrant,35353,11377(A) HS - POSSESS CNTL SUB (M) 35353
11353,15093,1,No Action,NULL,NULL
11354,14885,7,No Action,NULL,NULL
11355,15012,1,No Action,NULL,NULL
11356,15094,1,Psychiatric hold,NULL,NULL
11357,14885,8,No Action,NULL,NULL
11358,15013,1,No Action,NULL,NULL
11359,15095,1,No Action,NULL,NULL
11360,14886,1,No Action,NULL,NULL
11361,15014,1,No Action,NULL,NULL
11362,15096,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11363,14962,1,Warning (verbal or written),54186,22102 VC - ILEGAL UTURN:BUS DIST/ETC (I) 54186
11364,14887,1,No Action,NULL,NULL
11365,14888,1,In-field cite and release,54218,23109(C) VC - AIDE/ABET SPEED EXHIBITN (M) 54218
11366,14888,1,Warning (verbal or written),54218,23109(C) VC - AIDE/ABET SPEED EXHIBITN (M) 54218
11367,14889,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11368,14890,1,No Action,NULL,NULL
11369,14891,1,Custodial Arrest without warrant,12036,212.5(C) PC - ROBBERY:SECOND DEGREE (F) 12036
11370,14892,1,Custodial Arrest without warrant,32102,602(O) PC - TRESPAS:REFUSE LEAVE PROP (M) 32102
11371,14893,1,No Action,NULL,NULL
11372,14894,1,Custodial Arrest without warrant,38080,273.5(A) PC - CRPL INJ:SPOUS/COHAB/DATE (F) 38080
11373,14895,1,Citation for infraction,54146,21461(A) VC - DRIVER FAIL OBEY SIGN/ETC (I) 54146
11374,14896,1,No Action,NULL,NULL
11375,14897,1,Field interview card completed,NULL,NULL
11376,14897,2,Field interview card completed,NULL,NULL
11377,14898,1,Field interview card completed,NULL,NULL
11378,14899,1,No Action,NULL,NULL
11379,14900,1,Citation for infraction,54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11380,14901,1,Warning (verbal or written),54518,24603(E) VC - STOPLAMPS VIOL:N/VISIBLE (I) 54518
11381,14902,1,No Action,NULL,NULL
11382,14903,1,No Action,NULL,NULL
11383,14903,2,No Action,NULL,NULL
11384,14904,1,Warning (verbal or written),36279,314.1 PC - INDECENT EXPOSURE (F) 36279
11385,14905,1,Citation for infraction,54102,16025(A) VC - NO EVID:ID/INS/ETC:ACCDNT (I) 54102
11386,14905,2,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11387,14906,1,No Action,NULL,NULL
11388,14907,1,Citation for infraction,54566,23123(A) VC - USE CELLPH W/DRIV W/O HFD (I) 54566
11389,14908,1,Warning (verbal or written),54571,26708(A)(1) VC - OPR VEH:WINDOW OBSTRUCTED (I) 54571
11390,14909,1,No Action,NULL,NULL
11391,14910,1,No Action,NULL,NULL
11392,14911,1,No Action,NULL,NULL
11393,14912,1,Contacted parent/legal guardian or other person responsible for the minor,NULL,NULL
11394,14912,2,Field interview card completed,NULL,NULL
11395,14913,1,Warning (verbal or written),54141,21201(D) VC - BIKE HEADLIGHT/ETC VIOL (I) 54141
11396,14914,1,Citation for infraction,54004,14601(A) VC - DRIV:SUSP/ETC LIC:RECKLES (M) 54004
11397,14915,1,Custodial Arrest without warrant,54487,23225(A)(1) VC - OWNER/DRIVER:OPEN ALC:VEH (I) 54487
11398,14915,1,Custodial Arrest without warrant,31083,1508 HS - UNAUTH COMMUNITY CARE FAC (M) 31083
11399,14916,1,Custodial Arrest without warrant,13174,243(E)(1) PC - BAT:SPOUSE/EX SP/DATE/ETC (M) 13174
11400,14917,1,In-field cite and release,23091,484(A) PC - GRAND THEFT (F) 23091
11401,14918,1,No Action,NULL,NULL
11402,14919,1,No Action,NULL,NULL
11403,14920,1,Warning (verbal or written),54476,21462 VC - ALL TRAF/ETC OBEY SIGNALS (I) 54476
11404,14921,1,Custodial Arrest without warrant,48122,148(A)(1) PC - OBSTRUCT/ETC PUB OFCR/ETC (M) 48122
11405,14921,2,Field interview card completed,NULL,NULL
11406,14921,3,Field interview card completed,NULL,NULL
11407,14922,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11408,14923,1,Citation for infraction,54098,21453(A) VC - FAIL STOP LINE/ETC AT RED (I) 54098
11409,14924,1,Warning (verbal or written),54644,5200(A) VC - DISPLAY LIC PLATES WRONG (I) 54644
11410,14926,1,No Action,NULL,NULL
11411,14876,1,No Action,NULL,NULL
11412,15097,1,Warning (verbal or written),54657,4000(A)(1) VC - NO REG:VEH/TRAILER/ETC (I) 54657
11413,15015,1,No Action,NULL,NULL
11414,14927,1,No Action,NULL,NULL
11415,14877,1,Warning (verbal or written),32022,602 PC - TRESPASSING (M) 32022
11416,15098,1,Citation for infraction,54115,22107 VC - UNSAF TURN &/OR NO SIGNAL (I) 54115
